epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.405323,0.572697,0.749742,0.815657,1.000000e-03
2,0.709161,0.786903,0.538737,0.848485,1.000000e-03
3,0.572390,0.820755,0.423282,0.901515,1.000000e-03
4,0.479549,0.853496,0.377186,0.906566,1.000000e-03
5,0.435345,0.865982,0.355058,0.904040,1.000000e-03
6,0.396648,0.872642,0.349312,0.911616,1.000000e-03
7,0.354970,0.890122,0.306025,0.919192,1.000000e-03
8,0.327913,0.900666,0.284607,0.931818,1.000000e-03
9,0.317623,0.901776,0.284995,0.919192,1.000000e-03
10,0.294830,0.913707,0.286037,0.924242,1.000000e-03
