epoch,train_loss,train_acc,train_eval_loss,train_eval_acc,val_loss,val_acc,lr
1,1.905149,0.431677,1.438486,0.673469,1.420910,0.666667,5.000000e-04
2,1.260875,0.648625,0.994029,0.766193,0.978750,0.768293,5.000000e-04
3,0.948393,0.727152,0.767526,0.795475,0.776205,0.764228,5.000000e-04
4,0.792901,0.768412,0.653320,0.831411,0.675138,0.817073,5.000000e-04
5,0.693136,0.790594,0.557905,0.863354,0.577310,0.845528,5.000000e-04
6,0.633062,0.816770,0.502873,0.868234,0.538589,0.849593,5.000000e-04
7,0.569974,0.829193,0.471197,0.868234,0.495417,0.833333,5.000000e-04
8,0.525414,0.849601,0.428230,0.889086,0.479358,0.853659,5.000000e-04
9,0.487485,0.846495,0.410161,0.888199,0.459752,0.865854,5.000000e-04
10,0.481830,0.852263,0.387583,0.886868,0.452367,0.865854,5.000000e-04
