epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.570901,0.516093,0.907841,0.757576,1.000000e-03
2,0.828381,0.742508,0.582091,0.856061,1.000000e-03
3,0.621800,0.811043,0.469662,0.886364,1.000000e-03
4,0.532157,0.840455,0.417163,0.873737,1.000000e-03
5,0.479167,0.848224,0.389557,0.883838,1.000000e-03
6,0.436876,0.863762,0.345983,0.886364,1.000000e-03
7,0.401247,0.871254,0.342109,0.911616,1.000000e-03
8,0.378027,0.885683,0.330921,0.916667,1.000000e-03
9,0.360416,0.885960,0.315408,0.904040,1.000000e-03
10,0.334690,0.899279,0.291248,0.921717,1.000000e-03
